Parmis ces pays lequel ne se situe pas en Afrique :,(a) Egypte,(b) Kenya,(c) Libye,(d) Norvège,D
Combien un cube a-t-il de arêtes ?,(a) 4,(b) 6,(c) 8,(d) 12,D
Les mots "pair" et "paire" sont des... ,(a) Des antonymes,(b) Des homonymes,(c) Des synonymes,(d) Des paronymes,B
Quel composant de l'air l'être humain absorbe-t-il pour respirer ?,(a) Le gaz carbonique,(b) L'azote,(c) Le dioxygène ,(d) Le soufre,C
Lequel de ces pays n'appartient pas à l'Union européenne ?,(a) Suisse,(b) Belgique,(c) Grèce,(d) Portugal,A
Complète la phrase avec le couple qui convient : Ma soeur ... va à l'école ... son cartable,(a) s'en / sans,(b) sang / sent,(c) s'en / sang,(d) sang / sent,A
Trouve l'intrus parmis ces propositions : ,(a) Un scandale,(b) Un sabot,(c) Une botte,(d) Une espadrille,A
Dans la liste ci-dessous; une phrase n'est pas à la forme négative. Laquelle ?,(a) L'orage éclate brusquement,(b) Sur ce parking; il n'y a guère d'endroit où s'abriter,(c) Les clients n'ont plus envie de quitter le magasin,(d) La nuit n'est point aussi noire,A
Quel est le résultat de cette multiplication : 8 x 8 =,(a) 56,(b) 64,(c) 49,(d) 72,B
Quel est le reste de la division de 99 par 5 ?,(a) 1,(b) 2,(c) 3,(d) 4,D
Si je pars à 8h00 de chez moi et que je marche à 8 km/h; combien de temps mettrai-je pour arriver à l'école qui se trouve à 4 km ?,(a) 30 minutes,(b) 1 heure,(c) 2 heures,(d) 2 minutes,A
Calcul de priorités : 2 x 3 + 4 x 5 =,(a) 50,(b) 35,(c) 26,(d) 46,C
Qui régnait au château de Versailles ?,(a) Louis IX,(b) Louis XIV,(c) Charlemagne,(d) Saint Louis,B
Quel est le sens associé à la peau ?,(a) Le toucher,(b) La douceur,(c) L'ouïe,(d) La vue,A
"Comment s'écrit "gaz" au pluriel ?",(a) Gazes,(b) Gazs,(c) Gaz,(d) Gazx,C
Combien fait 38 divisé par 1000 ?,(a) 0.38,(b) 0.038,(c) 0.0038,(d) 3.8,B
Si une droite est perpendiculaire à plusieurs droites; ces dernières...,(a) sont perpendiculaires entre elles,(b) sont paralèlles entre elles,(c) vivent leur vie; cela ne nous regarde pas,(d) sont sécantes entre elles,B
Laquelle de ces trois propositions est juste ?,(a) 456 248 < 463 249 < 465 879,(b) 459 702 < 458 890 < 462 842,(c) 463 879 < 468 212 < 466 812,(d) 444 489 < 444 488 < 444 904,A
De quelle couleur est le ciel par temps bleu ?,(a) Rouge,(b) Bleu,(c) Gris,(d) Vert,B
Combien de lettre y a-t-il dans l'alphabet latin ?,(a) 13,(b) 42,(c) 25,(d) 26,D
Quels sont les dates de la Première Guerre Mondiale ?,(a) 1814-1918 ,(b) 1839-1945,(c) 1914-1918,(d) 1918-1939,C
